model_name,prompt_type,total_cases,valid_responses,success_rate,accuracy,precision,recall,f1_score,true_positive,true_negative,false_positive,false_negative,avg_confidence,avg_response_time,avg_tokens
openrouter/google/gemma-2-9b-it,system1,100,100,1.0,0.42,0.3804347826086957,0.9722222222222222,0.546875,35,7,57,1,68.34,0.7984055161476136,293.87
openrouter/meta-llama/llama-3.1-8b-instruct,system1,100,97,0.97,0.4639175257731959,0.4069767441860465,0.9722222222222222,0.5737704918032788,35,10,51,1,81.15463917525773,0.6653986935763015,270.4226804123711
openrouter/microsoft/phi-4,system1,100,100,1.0,0.41,0.37894736842105264,1.0,0.549618320610687,36,5,59,0,82.2,1.2896981596946717,306.32
openrouter/qwen/qwen-2.5-7b-instruct,system1,100,100,1.0,0.65,0.5111111111111111,0.6388888888888888,0.5679012345679012,23,42,22,13,54.42,0.7339106512069702,291.65
