model_name,prompt_type,total_cases,valid_responses,success_rate,accuracy,precision,recall,f1_score,true_positive,true_negative,false_positive,false_negative,avg_confidence,avg_response_time,avg_tokens
openrouter/google/gemma-2-9b-it,system1,5900,5893,0.9988135593220339,0.42236551841167486,0.3826118855465884,0.9821092278719398,0.5506863780359029,2086,403,3366,38,69.74138808756152,0.5847601279649228,293.2586119124385
openrouter/meta-llama/llama-3.1-8b-instruct,system1,5900,5602,0.9494915254237288,0.4568011424491253,0.39593082400813834,0.9633663366336633,0.561211247296323,1946,613,2969,74,78.97465191003214,0.7113048505119152,269.98375580149946
openrouter/microsoft/phi-4,system1,5900,5900,1.0,0.4266101694915254,0.38531608671889234,0.9957627118644068,0.5556285301458033,2115,402,3374,9,81.0535593220339,1.306120341551506,317.7406779661017
openrouter/qwen/qwen-2.5-7b-instruct,system1,5900,5900,1.0,0.6420338983050847,0.5023130300693909,0.6134651600753296,0.5523526918185672,1303,2485,1291,821,53.642881355932204,0.8471184052855282,290.2823728813559
